id;spkts;dpkts;sbytes;dbytes;sttl;dttl;sloss;dloss;swin;stcpb;dtcpb;dwin;tcprtt;synack;ackdat;smean;dmean;trans_depth;response_body_len;ct_srv_src;ct_state_ttl;ct_dst_ltm;ct_src_dport_ltm;ct_dst_sport_ltm;ct_dst_src_ltm;is_ftp_login;ct_ftp_cmd;ct_flw_http_mthd;ct_src_ltm;ct_srv_dst;is_sm_ips_ports;target
54;22;0;990;0;254;0;21;0;255;0;0;0;0;0;0;45;0;0;0;17;6;4;3;3;14;0;0;0;3;15;0;0
55;22;0;990;0;254;0;21;0;255;0;0;0;0;0;0;45;0;0;0;17;6;4;3;3;14;0;0;0;3;15;0;0
56;10;6;534;268;254;252;2;1;255;3086844008;3257523641;255;0.153274;0.081819;0.071455;53;45;0;0;2;1;1;1;1;2;0;0;0;2;2;0;0
57;10;8;2516;354;254;252;2;1;255;531787453;1249086836;255;0.24447;0.13811;0.10636;252;44;0;0;17;1;1;1;1;3;0;0;0;10;3;0;0
58;20;0;900;0;254;0;19;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;0
59;20;0;900;0;254;0;19;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;0
60;20;0;900;0;254;0;19;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;0
61;20;0;900;0;254;0;19;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;0
62;20;0;900;0;254;0;19;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;0
63;20;0;900;0;254;0;19;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;0
64;20;0;900;0;254;0;19;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;0
65;20;0;900;0;254;0;19;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;0
66;20;0;900;0;254;0;19;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;0
67;10;8;2516;354;254;252;2;1;255;2795605829;1134397635;255;0.22157;0.127886;0.093684;252;44;0;0;17;1;1;1;1;3;0;0;0;3;3;0;0
68;18;0;810;0;254;0;17;0;255;0;0;0;0;0;0;45;0;0;0;17;6;2;1;1;14;0;0;0;3;15;0;0
69;18;0;810;0;254;0;17;0;255;0;0;0;0;0;0;45;0;0;0;17;6;2;1;1;14;0;0;0;3;15;0;0
70;18;0;810;0;254;0;17;0;255;0;0;0;0;0;0;45;0;0;0;18;6;4;2;2;17;0;0;0;4;17;0;0
71;18;0;810;0;254;0;17;0;255;0;0;0;0;0;0;45;0;0;0;18;6;4;2;2;17;0;0;0;4;17;0;0
72;18;0;810;0;254;0;17;0;255;0;0;0;0;0;0;45;0;0;0;18;6;4;2;2;17;0;0;0;4;17;0;0
73;12;8;898;1120;62;252;2;2;255;1182907296;802589817;255;0.140062;0.07451;0.065552;75;140;1;157;1;1;1;1;1;1;0;0;1;2;1;0;0
74;18;0;810;0;254;0;17;0;255;0;0;0;0;0;0;45;0;0;0;18;6;4;2;2;17;0;0;0;4;17;0;0
75;16;0;720;0;254;0;15;0;255;0;0;0;0;0;0;45;0;0;0;18;6;3;3;3;17;0;0;0;3;17;0;0
76;16;0;720;0;254;0;15;0;255;0;0;0;0;0;0;45;0;0;0;18;6;3;3;3;17;0;0;0;3;17;0;0
77;16;0;720;0;254;0;15;0;255;0;0;0;0;0;0;45;0;0;0;18;6;3;3;3;17;0;0;0;3;17;0;0
78;10;6;534;268;254;252;2;1;255;4226419251;1222508038;255;0.178731;0.098958;0.079773;53;45;0;0;3;1;1;1;1;2;0;0;0;1;2;0;0
79;14;0;630;0;254;0;13;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;0
80;14;0;630;0;254;0;13;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;0
81;14;0;630;0;254;0;13;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;0
82;14;0;630;0;254;0;13;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;0
83;14;0;630;0;254;0;13;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;0
84;10;8;2516;354;254;252;2;1;255;3840327893;3548556327;255;0.2792;0.162075;0.117125;252;44;0;0;18;1;1;1;1;1;0;0;0;10;1;0;0
85;10;8;534;354;254;252;2;1;255;3922662296;186468384;255;0.171522;0.11764;0.053882;53;44;0;0;3;1;1;1;1;2;0;0;0;2;2;0;0
86;14;0;630;0;254;0;13;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;0
87;14;0;630;0;254;0;13;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;0
88;14;0;630;0;254;0;13;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;0
89;14;0;630;0;254;0;13;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;0
90;12;10;896;1142;62;252;2;2;255;1647371567;938705912;255;0.301504;0.150194;0.15131;75;114;1;126;1;1;2;1;1;1;0;0;1;1;1;0;0
91;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;2;2;7;0;0;0;5;8;0;0
92;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;3;3;7;0;0;0;5;8;0;0
93;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;2;1;1;17;0;0;0;1;17;0;0
94;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;3;3;7;0;0;0;5;8;0;0
95;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;3;3;7;0;0;0;5;8;0;0
96;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;2;2;7;0;0;0;5;8;0;0
97;10;6;534;268;254;252;2;1;255;2600388172;623342715;255;0.148054;0.090584;0.05747;53;45;0;0;5;1;1;1;1;3;0;0;0;2;3;0;0
98;10;6;534;268;254;252;2;1;255;2537299422;4130059309;255;0.16717;0.079005;0.088165;53;45;0;0;5;1;1;1;1;3;0;0;0;1;3;0;0
99;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;3;11;0;0
100;10;10;810;1228;62;252;2;2;255;504743724;17824254;255;0.14109;0.071357;0.069733;81;123;1;168;2;1;1;1;1;2;0;0;1;1;2;0;0
101;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;3;11;0;0
102;10;8;2516;354;254;252;2;1;255;732537965;857310543;255;0.228211;0.156418;0.071793;252;44;0;0;8;1;1;1;1;1;0;0;0;3;1;0;0
103;10;6;534;268;254;252;2;1;255;573378078;3844895218;255;0.191544;0.087402;0.104142;53;45;0;0;5;1;1;1;1;3;0;0;0;1;3;0;0
104;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;8;6;2;2;2;7;0;0;0;3;8;0;0
105;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;8;6;2;2;2;7;0;0;0;3;8;0;0
106;8;0;360;0;254;0;7;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;2;11;0;0
107;8;0;360;0;254;0;7;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;2;11;0;0
108;10;8;534;354;254;252;2;1;255;1859843698;1145592012;255;0.153635;0.083699;0.069936;53;44;0;0;3;1;1;1;1;2;0;0;0;1;2;0;0
109;8;0;360;0;254;0;7;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;2;11;0;0
110;8;0;360;0;254;0;7;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;2;11;0;0
111;10;6;534;268;254;252;2;1;255;4059060577;1649278110;255;0.132444;0.083125;0.049319;53;45;0;0;3;1;1;1;1;2;0;0;0;2;2;0;0
112;6;0;270;0;254;0;5;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;2;2;11;0;0;0;5;11;0;0
113;10;8;2516;354;254;252;2;1;255;2138990264;4013507049;255;0.228169;0.140685;0.087484;252;44;0;0;12;1;1;1;1;3;0;0;0;2;3;0;0
114;6;0;270;0;254;0;5;0;255;0;0;0;0;0;0;45;0;0;0;12;6;1;1;1;9;0;0;0;2;9;0;0
115;6;0;270;0;254;0;5;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;2;2;11;0;0;0;5;11;0;0
116;6;0;270;0;254;0;5;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;1;1;11;0;0;0;5;11;0;0
117;10;10;814;1266;62;252;2;2;255;664847518;2707919610;255;0.333902;0.109439;0.224463;81;127;1;188;2;1;1;1;1;2;0;0;1;2;2;0;0
118;6;0;270;0;254;0;5;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;2;2;11;0;0;0;5;11;0;0
119;6;0;270;0;254;0;5;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;2;2;11;0;0;0;5;11;0;0
120;4;0;180;0;254;0;3;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;0
121;4;0;180;0;254;0;3;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;0
122;4;0;180;0;254;0;3;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;0
123;10;6;534;268;254;252;2;1;255;1130834393;1765038992;255;0.2012;0.108745;0.092455;53;45;0;0;4;1;1;1;1;3;0;0;0;1;3;0;0
124;4;0;180;0;254;0;3;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;0
125;4;0;180;0;254;0;3;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;0
126;4;0;180;0;254;0;3;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;0
127;4;0;180;0;254;0;3;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;0
128;10;6;2516;268;254;252;2;1;255;2986121594;4120927092;255;0.234341;0.128308;0.106033;252;45;0;0;12;1;1;1;1;3;0;0;0;9;3;0;0
129;4;0;180;0;254;0;3;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;0
130;10;6;534;268;254;252;2;1;255;1754390776;3920969527;255;0.305671;0.154212;0.151459;53;45;0;0;4;1;1;1;1;3;0;0;0;1;3;0;0
131;12;8;876;1182;62;252;2;2;255;1189974610;4041664482;255;0.184153;0.075141;0.109012;73;148;1;189;1;1;2;1;1;1;0;0;1;1;1;0;0
132;10;8;2516;354;254;252;2;1;255;2807919407;90823043;255;0.155534;0.074759;0.080775;252;44;0;0;12;1;1;1;1;3;0;0;0;1;3;0;0
133;10;6;534;268;254;252;2;1;255;1049614339;2314763912;255;0.264407;0.154903;0.109504;53;45;0;0;4;1;1;1;1;3;0;0;0;2;3;0;0
134;10;8;534;354;254;252;2;1;255;2521601668;1350177862;255;0.153475;0.059793;0.093682;53;44;0;0;5;1;1;1;1;2;0;0;0;2;2;0;0
135;10;8;2516;354;254;252;2;1;255;194472982;3611257216;255;0.141348;0.081363;0.059985;252;44;0;0;1;1;2;1;1;1;0;0;0;1;2;0;0
136;10;8;824;1206;62;252;2;2;255;3719681799;1268959706;255;0.263248;0.142526;0.120722;82;151;1;201;4;1;1;1;1;4;0;0;1;1;4;0;0
137;10;10;822;1378;62;252;2;2;255;2803389328;344484475;255;0.24616;0.106148;0.140012;82;138;1;190;4;1;19;3;3;4;0;0;9;3;4;0;0
138;10;10;822;1378;62;252;2;2;255;2803389328;344484475;255;0.24616;0.106148;0.140012;82;138;1;190;4;1;19;3;3;4;0;0;9;3;4;0;0
139;10;8;534;354;254;252;2;1;255;3513978104;3009814518;255;0.154585;0.0829;0.071685;53;44;0;0;5;1;1;1;1;2;0;0;0;1;2;0;0
140;10;10;822;1378;62;252;2;2;255;2803389328;344484475;255;0.24616;0.106148;0.140012;82;138;1;190;4;1;19;3;3;4;0;0;9;3;4;0;0
141;10;8;2516;354;254;252;2;1;255;2169276756;153020640;255;0.148026;0.075352;0.072674;252;44;0;0;3;1;1;1;1;1;0;0;0;1;1;0;0
142;10;8;534;354;254;252;2;1;255;676216202;1044137019;255;0.147977;0.075253;0.072724;53;44;0;0;3;1;1;1;1;2;0;0;0;2;2;0;0
143;10;8;534;354;254;252;2;1;255;1096251361;3075233536;255;0.162513;0.084404;0.078109;53;44;0;0;3;1;1;1;1;2;0;0;0;1;2;0;0
144;10;8;816;1294;62;252;2;2;255;4178422368;2909803900;255;0.160495;0.076835;0.08366;82;162;1;245;4;1;1;1;1;4;0;0;1;1;5;0;0
145;10;6;2516;268;254;252;2;1;255;2761340365;4249137715;255;0.223974;0.139422;0.084552;252;45;0;0;2;1;1;1;1;2;0;0;0;2;3;0;0
146;10;10;810;1138;62;252;2;2;255;3927142267;686902016;255;0.257473;0.104015;0.153458;81;114;1;199;4;1;2;2;2;4;0;0;4;3;5;0;0
147;10;10;810;1138;62;252;2;2;255;3927142267;686902016;255;0.257473;0.104015;0.153458;81;114;1;199;4;1;2;2;2;4;0;0;4;3;5;0;0
148;10;8;2516;354;254;252;2;1;255;4020956110;929068355;255;0.122622;0.062448;0.060174;252;44;0;0;2;1;2;1;1;2;0;0;0;1;3;0;0
149;10;8;534;354;254;252;2;1;255;4029826422;3624478972;255;0.237641;0.144164;0.093477;53;44;0;0;4;1;1;1;1;1;0;0;0;3;1;0;0
150;10;8;800;1246;62;252;2;2;255;3269906757;2745857208;255;0.142953;0.067697;0.075256;80;156;1;221;2;1;20;1;1;2;0;0;1;1;2;0;0
151;10;6;2516;268;254;252;2;1;255;1790221268;1361794474;255;0.286305;0.12385;0.162455;252;45;0;0;2;1;1;1;1;2;0;0;0;1;2;0;0
152;10;10;792;1140;62;252;2;2;255;365998042;2150456672;255;0.149633;0.072004;0.077629;79;114;1;125;2;1;1;1;1;2;0;0;1;1;2;0;0
153;10;6;534;268;254;252;2;1;255;854834386;928619636;255;0.265274;0.114578;0.150696;53;45;0;0;2;1;1;1;1;2;0;0;0;1;2;0;0
154;10;6;2516;268;254;252;2;1;255;2697171862;79615878;255;0.203594;0.109304;0.09429;252;45;0;0;2;1;1;1;1;2;0;0;0;1;2;0;0
155;10;8;2516;354;254;252;2;1;255;2876010731;1773399987;255;0.15398;0.067118;0.086862;252;44;0;0;3;1;1;1;1;2;0;0;0;2;2;0;0
156;10;8;534;354;254;252;2;1;255;2450225453;857637212;255;0.132417;0.07776;0.054657;53;44;0;0;6;1;1;1;1;4;0;0;0;1;4;0;0
157;10;8;2516;354;254;252;2;1;255;3664217323;1561140497;255;0.137256;0.065254;0.072002;252;44;0;0;3;1;1;1;1;2;0;0;0;1;2;0;0
158;10;8;822;1120;62;252;2;2;255;1797628756;1731393852;255;0.22291;0.098223;0.124687;82;140;1;157;2;1;1;1;1;2;0;0;1;1;2;0;0
159;10;8;534;354;254;252;2;1;255;150265011;4249647506;255;0.18222;0.099541;0.082679;53;44;0;0;6;1;1;1;1;4;0;0;0;1;4;0;0
160;10;6;534;268;254;252;2;1;255;2270531088;1239868836;255;0.236791;0.145203;0.091588;53;45;0;0;5;1;1;1;1;3;0;0;0;2;3;0;0
161;10;10;796;1192;62;252;2;2;255;3592259928;3043092096;255;0.174053;0.091674;0.082379;80;119;1;151;2;1;1;1;1;1;0;0;1;1;1;0;0
162;10;6;2516;268;254;252;2;1;255;2985558268;2856325946;255;0.15334;0.073071;0.080269;252;45;0;0;18;1;1;1;1;1;0;0;0;2;1;0;0
163;10;6;534;268;254;252;2;1;255;1570613953;2907579949;255;0.155128;0.08526;0.069868;53;45;0;0;5;1;2;2;1;3;0;0;0;2;3;0;0
164;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
165;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
166;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
167;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
168;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
169;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
170;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
171;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
172;10;8;534;354;254;252;2;1;255;516089707;2848975953;255;0.272878;0.170975;0.101903;53;44;0;0;5;1;2;2;1;3;0;0;0;2;3;0;0
173;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
174;12;0;540;0;254;0;11;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;0
175;2;0;90;0;254;0;1;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;1;1;18;0;0;0;11;17;0;0
176;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;27;6;20;2;2;25;0;0;0;22;25;0;0
177;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;27;6;20;2;2;25;0;0;0;22;25;0;0
178;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;27;6;20;2;2;25;0;0;0;22;25;0;0
179;10;6;2516;268;254;252;2;1;255;2593748055;4108003839;255;0.109026;0.065034;0.043992;252;45;0;0;27;1;1;1;1;1;0;0;0;22;1;0;0
180;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;27;6;20;2;2;25;0;0;0;22;25;0;0
181;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;27;6;20;2;2;25;0;0;0;22;25;0;0
182;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;27;6;20;2;2;25;0;0;0;22;25;0;0
183;12;10;890;1150;62;252;2;2;255;3214576969;978178361;255;0.155339;0.08797;0.067369;74;115;1;130;2;1;1;1;1;2;0;0;1;1;2;0;0
184;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;27;6;20;2;2;25;0;0;0;22;25;0;0
185;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;27;6;20;2;2;25;0;0;0;22;25;0;0
186;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;27;6;20;1;1;25;0;0;0;22;25;0;0
187;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;18;6;6;2;2;18;0;0;0;6;17;0;0
188;10;0;450;0;254;0;9;0;255;0;0;0;0;0;0;45;0;0;0;18;6;6;2;2;18;0;0;0;6;17;0;0
